id,thesession.org_id,album_id,track_num,title,tune_num
8163,-1,323,10,Soleil D'Octobre,2
8164,6508,323,11,Eamonn An Chnoic,1
8165,1542,323,12,Mrs. Judge,1
8166,-1,323,12,Herman The German's,2
8167,-1,323,13,The Old Forge,1
8168,4143,323,13,Cycling Home,2
8169,118,323,13,The Wise Maid,3
8170,99,324,1,The Salamanca,1
8171,4728,324,1,The Flood On The Holm,2
8172,173,324,2,The Cat That Kittled In Jamie's Wig,1
8173,417,324,3,Arthur Darley's,1
8174,1647,324,4,Kitty's Gone A'Milking,1
8175,595,324,4,The Dogs Among The Bushes,2
8176,165,324,4,The Merry Sisters,3
8177,564,324,5,My Love She's But A Lassie Yet,1
8178,1936,324,6,Green Grow The Rushes-O,1
8179,3486,324,7,The Hen's March Over The Midden,1
8180,1949,324,8,McFarley's,1
8181,754,324,9,Bonny Kate,1
8182,-1,324,10,The Bluebells Of Scotland,1
8183,6045,324,11,Miss Crawford,1
8184,3813,324,12,Tuaim Na Farraige,1
8185,10319,324,13,Easter Snow,1
8186,2123,324,14,The Drunken Piper,1
8187,11966,324,14,Lough Isle Castle,2
8188,2261,324,15,The High Level,1
8189,3122,324,16,The Low Level,1
8190,31,324,17,The King Of The Pipers,1
8191,-1,324,18,Conversation Piece,1
8192,4858,324,19,Cathair Rua,1
8193,-1,324,20,Mammy's Plaidie,1
8194,142,324,20,The Boyne Hunt,2
8195,5616,324,21,The Japanese,1
8196,-1,324,22,The Old Man Rocking The Cradle,1
8197,716,324,23,The Moving Bogs,1
8198,2743,324,23,The Fairy,2
8199,-1,324,24,The Loughside,1
8200,3089,324,25,The Blacksmith's Fancy,1
8201,-1,324,25,Mooney's Favourite,2
8202,1621,324,26,The Donegal,1
8203,927,324,27,The Policeman's Holiday,1
8204,1762,324,28,Stirling Castle,1
8205,-1,324,29,An Tiarna Mhaigh Eo,1
8206,49,324,30,The Harvest Home,1
8207,412,324,30,The Cliff,2
8208,1774,324,31,Lord Gordon's,1
8209,-1,324,32,Miss Cunningham,1
8210,1500,324,33,The Liverpool,1
8211,3250,324,33,The Derry,2
8212,1574,325,1,The Boogie,1
8213,1670,325,1,The Cocktail,2
8214,8946,325,2,Cape Breton,1
8215,106,325,2,The Swallowtail,2
8216,-1,325,3,Tony Dalton's,1
8217,-1,325,3,Tay In A Bucket,2
8218,3226,325,4,Paddy's,1
8219,2390,325,5,Matthew's,1
8220,2212,325,6,John Naughton's,1
8221,-1,325,6,Camden Town,2
8222,8344,325,7,Bold Doherty,1
8223,2578,325,7,Northern,2
8224,-1,325,8,Bainis,1
8225,6969,325,8,Michael Joe Kennedy's,2
8226,-1,325,9,The Shepherd,1
8227,1433,325,10,Carolan's Fancy,1
8228,45,325,10,East Of Glendart,2
8229,406,325,11,Lad O'Beirne's,1
8230,4149,325,11,Phyllis' Birthday,2
8231,1493,325,12,O'Carolan's Receipt,1
8232,2377,325,13,Wallop The Cat From Under The Table,1
8233,-1,325,13,Onions And Bunions,2
8234,-1,325,13,The Split Second,3
8235,874,325,14,Raitlin Island,1
8236,6969,325,14,Michael Joe Kennedy's,2
8237,2358,326,1,Auchdon House,1
8238,7736,326,2,Kilhouries,1
8239,372,326,2,The Munster,2
8240,1831,326,2,The Maid On The Green,3
8241,-1,326,3,St Ruth's Bush,1
8242,-1,326,3,Gerry Crommane's,2
8243,6634,326,4,Peeler Creek,1
8244,5476,326,4,Sonny's,2
8245,561,326,4,The Irish,3
8246,2122,326,5,Paddy O'Brien's,1
8247,4734,326,5,The Few Bob,2
8248,-1,326,6,Ged A Theid Mi Do M'Leabaidh,1
8249,63,326,7,Killoran's Reels,1
8250,7929,326,8,An Buachaill Dreoite,1
8251,1234,326,8,Mrs Galvin's,2
8252,6265,326,9,Dark Lochnagar,1
8253,2783,326,10,The Bunch Of Rushes,1
8254,1781,326,10,Sporting Nell,2
8255,2141,326,11,Sliabh Na MBan,1
8256,309,326,11,Delahunty's,2
8257,4403,326,12,Farewell To Ireland,1
8258,649,326,12,The Humours Of Lissadell,2
8259,891,326,13,The Trip To Durrow,1
8260,37,326,14,The Gold Ring,1
8261,5430,326,14,Paddy Taylor's,2
8262,6623,326,15,The Dear Irish Boy,1
8263,142,326,16,The Boyne Hunt,1
8264,71,326,16,Morrison's,2
8265,996,326,17,The Tailor's Twist,1
8266,478,326,17,Cronin's,2
8267,347,326,18,Martin Wynne's,1
8268,68,326,18,The Mountain Road,2
8269,2862,326,19,Louie's,1
8270,905,326,20,The Princess Royal,1
8271,368,326,21,The Old Torn Petticoat,1
8272,86,326,21,Rakish Paddy,2
8273,1815,326,22,The Coolin,1
8274,-1,327,1,Martin's Challenge,1
8275,-1,327,1,Tova And The King,2
8276,-1,327,1,Robert,3
8277,-1,327,2,Never,1
